,Year,Braut,tegund_nams,kk,kv,samtals_utt
0,2007,Félags- og mannvísindadeild,,37,172,209
1,2007,Félags- og mannvísindadeild,Grunnnám,22,77,99
2,2007,Félags- og mannvísindadeild,Viðbótarnám,2,34,36
3,2007,Félags- og mannvísindadeild,Meistarapróf,12,61,73
4,2007,Félags- og mannvísindadeild,Doktorspróf,1,0,1
5,2007,Félagsráðgjafardeild,,0,46,46
6,2007,Félagsráðgjafardeild,Grunnnám,0,35,35
7,2007,Félagsráðgjafardeild,Viðbótarnám,0,2,2
8,2007,Félagsráðgjafardeild,Meistarapróf,0,9,9
9,2007,Félagsráðgjafardeild,Doktorspróf,0,0,0
10,2007,Hagfræðideild,,22,21,43
11,2007,Hagfræðideild,Grunnnám,17,13,30
12,2007,Hagfræðideild,Viðbótarnám,0,0,0
13,2007,Hagfræðideild,Meistarapróf,5,8,13
14,2007,Hagfræðideild,Doktorspróf,0,0,0
15,2007,Lagadeild,,69,71,140
16,2007,Lagadeild,Grunnnám,45,48,93
17,2007,Lagadeild,Viðbótarnám,10,14,24
18,2007,Lagadeild,Meistarapróf,14,9,23
19,2007,Lagadeild,Doktorspróf,0,0,0
20,2007,Stjórnmálafræðideild,,28,45,73
21,2007,Stjórnmálafræðideild,Grunnnám,19,16,35
22,2007,Stjórnmálafræðideild,Viðbótarnám,4,10,14
23,2007,Stjórnmálafræðideild,Meistarapróf,5,19,24
24,2007,Stjórnmálafræðideild,Doktorspróf,0,0,0
25,2007,Viðskiptafræðideild,,78,123,201
26,2007,Viðskiptafræðideild,Grunnnám,35,55,90
27,2007,Viðskiptafræðideild,Viðbótarnám,0,0,0
28,2007,Viðskiptafræðideild,Meistarapróf,43,68,111
29,2007,Viðskiptafræðideild,Doktorspróf,0,0,0
30,2007,Hjúkrunarfræðideild,,2,121,123
31,2007,Hjúkrunarfræðideild,Grunnnám,1,57,58
32,2007,Hjúkrunarfræðideild,Viðbótarnám,0,42,42
33,2007,Hjúkrunarfræðideild,Meistarapróf,1,22,23
34,2007,Hjúkrunarfræðideild,Doktorspróf,0,0,0
35,2007,Lyfjafræðideild,,13,29,42
36,2007,Lyfjafræðideild,Grunnnám,9,18,27
37,2007,Lyfjafræðideild,Viðbótarnám,0,0,0
38,2007,Lyfjafræðideild,Meistarapróf,4,11,15
39,2007,Lyfjafræðideild,Doktorspróf,0,0,0
40,2007,Læknadeild,,20,46,66
41,2007,Læknadeild,Grunnnám,2,11,13
42,2007,Læknadeild,Viðbótarnám,15,21,36
43,2007,Læknadeild,Meistarapróf,2,10,12
44,2007,Læknadeild,Doktorspróf,1,4,5
45,2007,Lýðheilsuvísindi,,0,0,0
46,2007,Lýðheilsuvísindi,Grunnnám,0,0,0
47,2007,Lýðheilsuvísindi,Viðbótarnám,0,0,0
48,2007,Lýðheilsuvísindi,Meistarapróf,0,0,0
49,2007,Lýðheilsuvísindi,Doktorspróf,0,0,0
50,2007,Matvæla- og næringarfræðideild,,4,8,12
51,2007,Matvæla- og næringarfræðideild,Grunnnám,1,2,3
52,2007,Matvæla- og næringarfræðideild,Viðbótarnám,0,0,0
53,2007,Matvæla- og næringarfræðideild,Meistarapróf,3,6,9
54,2007,Matvæla- og næringarfræðideild,Doktorspróf,0,0,0
55,2007,Sálfræðideild,,21,71,92
56,2007,Sálfræðideild,Grunnnám,21,60,81
57,2007,Sálfræðideild,Viðbótarnám,0,0,0
58,2007,Sálfræðideild,Meistarapróf,0,11,11
59,2007,Sálfræðideild,Doktorspróf,0,0,0
60,2007,Tannlæknadeild,,4,4,8
61,2007,Tannlæknadeild,Grunnnám,4,4,8
62,2007,Tannlæknadeild,Viðbótarnám,0,0,0
63,2007,Tannlæknadeild,Meistarapróf,0,0,0
64,2007,Tannlæknadeild,Doktorspróf,0,0,0
65,2007,"Deild erlendra tungumála, bókmennta og málvísinda",,17,55,72
66,2007,"Deild erlendra tungumála, bókmennta og málvísinda",Grunnnám,17,50,67
67,2007,"Deild erlendra tungumála, bókmennta og málvísinda",Viðbótarnám,0,0,0
68,2007,"Deild erlendra tungumála, bókmennta og málvísinda",Meistarapróf,0,5,5
69,2007,"Deild erlendra tungumála, bókmennta og málvísinda",Doktorspróf,0,0,0
70,2007,Guðfræði- og trúarbragðafræðideild,,7,31,38
71,2007,Guðfræði- og trúarbragðafræðideild,Grunnnám,3,21,24
72,2007,Guðfræði- og trúarbragðafræðideild,Viðbótarnám,2,7,9
73,2007,Guðfræði- og trúarbragðafræðideild,Meistarapróf,2,3,5
74,2007,Guðfræði- og trúarbragðafræðideild,Doktorspróf,0,0,0
75,2007,Íslensku- og menningardeild,,30,85,115
76,2007,Íslensku- og menningardeild,Grunnnám,21,73,94
77,2007,Íslensku- og menningardeild,Viðbótarnám,0,0,0
78,2007,Íslensku- og menningardeild,Meistarapróf,9,12,21
79,2007,Íslensku- og menningardeild,Doktorspróf,0,0,0
80,2007,Sagnfræði- og heimspekideild,,37,31,48
81,2007,Sagnfræði- og heimspekideild,Grunnnám,30,25,35
82,2007,Sagnfræði- og heimspekideild,Viðbótarnám,0,0,0
83,2007,Sagnfræði- og heimspekideild,Meistarapróf,7,5,12
84,2007,Sagnfræði- og heimspekideild,Doktorspróf,0,1,1
85,2007,"Íþrótta-, tómstunda- og þroskaþjálfadeild",,0,0,0
86,2007,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Grunnnám,0,0,0
87,2007,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Viðbótarnám,0,0,0
88,2007,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Meistarapróf,0,0,0
89,2007,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Doktorspróf,0,0,0
90,2007,Kennaradeild,,19,44,63
91,2007,Kennaradeild,Grunnnám,0,0,0
92,2007,Kennaradeild,Viðbótarnám,19,41,60
93,2007,Kennaradeild,Meistarapróf,0,3,3
94,2007,Kennaradeild,Doktorspróf,0,0,0
95,2007,Uppeldis- og menntunarfræðideild,,2,40,42
96,2007,Uppeldis- og menntunarfræðideild,Grunnnám,1,25,26
97,2007,Uppeldis- og menntunarfræðideild,Viðbótarnám,0,5,5
98,2007,Uppeldis- og menntunarfræðideild,Meistarapróf,1,10,11
99,2007,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",,66,63,129
100,2007,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Grunnnám,48,32,80
101,2007,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Viðbótarnám,0,0,0
102,2007,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Meistarapróf,18,31,49
103,2007,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Doktorspróf,0,0,0
104,2007,Jarðvísindadeild,,14,10,24
105,2007,Jarðvísindadeild,Grunnnám,9,6,15
106,2007,Jarðvísindadeild,Viðbótarnám,0,0,0
107,2007,Jarðvísindadeild,Meistarapróf,3,4,7
108,2007,Jarðvísindadeild,Doktorspróf,2,0,2
109,2007,Líf- og umhverfisvísindadeild,,23,66,89
110,2007,Líf- og umhverfisvísindadeild,Grunnnám,16,58,74
111,2007,Líf- og umhverfisvísindadeild,Viðbótarnám,0,0,0
112,2007,Líf- og umhverfisvísindadeild,Meistarapróf,7,8,15
113,2007,Líf- og umhverfisvísindadeild,Doktorspróf,0,0,0
114,2007,Umhverfis- og auðlindafræði,,2,0,2
115,2007,Umhverfis- og auðlindafræði,Grunnnám,0,0,0
116,2007,Umhverfis- og auðlindafræði,Viðbótarnám,0,0,0
117,2007,Umhverfis- og auðlindafræði,Meistarapróf,2,0,2
118,2007,Umhverfis- og auðlindafræði,Doktorspróf,0,0,0
119,2007,Rafmagns- og tölvuverkfræðideild,,33,0,33
120,2007,Rafmagns- og tölvuverkfræðideild,Grunnnám,32,0,32
121,2007,Rafmagns- og tölvuverkfræðideild,Viðbótarnám,0,0,0
122,2007,Rafmagns- og tölvuverkfræðideild,Meistarapróf,1,0,1
