,Year,Braut,tegund_nams,kk,kv,samtals_inn
9,1111,dumyy,dummy,1,1,2
0,2007,Félags- og mannvísindadeild,,150,632,782
1,2007,Félags- og mannvísindadeild,Grunnnám,93,351,444
2,2007,Félags- og mannvísindadeild,Viðbótarnám,13,101,114
3,2007,Félags- og mannvísindadeild,Meistarapróf,37,169,206
4,2007,Félags- og mannvísindadeild,Doktorspróf,7,11,18
5,2007,Félagsráðgjafardeild,,32,279,311
6,2007,Félagsráðgjafardeild,Grunnnám,29,241,270
7,2007,Félagsráðgjafardeild,Viðbótarnám,3,24,27
8,2007,Félagsráðgjafardeild,Meistarapróf,0,13,13
9,2007,Félagsráðgjafardeild,Doktorspróf,0,1,1
10,2007,Hagfræðideild,,185,114,299
11,2007,Hagfræðideild,Grunnnám,134,80,214
12,2007,Hagfræðideild,Viðbótarnám,0,0,0
13,2007,Hagfræðideild,Meistarapróf,47,33,80
14,2007,Hagfræðideild,Doktorspróf,4,1,5
15,2007,Lagadeild,,301,322,623
16,2007,Lagadeild,Grunnnám,208,226,434
17,2007,Lagadeild,Viðbótarnám,0,0,0
18,2007,Lagadeild,Meistarapróf,92,94,186
19,2007,Lagadeild,Doktorspróf,1,2,3
20,2007,Stjórnmálafræðideild,,237,384,621
21,2007,Stjórnmálafræðideild,Grunnnám,125,130,255
22,2007,Stjórnmálafræðideild,Viðbótarnám,18,42,60
23,2007,Stjórnmálafræðideild,Meistarapróf,89,200,289
24,2007,Stjórnmálafræðideild,Doktorspróf,5,12,17
25,2007,Viðskiptafræðideild,,495,673,1168
26,2007,Viðskiptafræðideild,Grunnnám,291,313,604
27,2007,Viðskiptafræðideild,Viðbótarnám,0,0,0
28,2007,Viðskiptafræðideild,Meistarapróf,201,360,561
29,2007,Viðskiptafræðideild,Doktorspróf,3,0,3
30,2007,Hjúkrunarfræðideild,,0,0,0
31,2007,Hjúkrunarfræðideild,Grunnnám,0,0,0
32,2007,Hjúkrunarfræðideild,Viðbótarnám,0,0,0
33,2007,Hjúkrunarfræðideild,Meistarapróf,0,0,0
34,2007,Hjúkrunarfræðideild,Doktorspróf,0,0,0
35,2007,Lyfjafræðideild,,20,42,62
36,2007,Lyfjafræðideild,Grunnnám,0,0,0
37,2007,Lyfjafræðideild,Viðbótarnám,0,0,0
38,2007,Lyfjafræðideild,Meistarapróf,16,38,54
39,2007,Lyfjafræðideild,Doktorspróf,4,4,8
40,2007,Læknadeild,,196,356,552
